; アイテムデータ

; 装備位置 ( part ) の指定は以下の通り
;  main    利き手。メインの武器
;  sub     非利き手。盾、またはサブの武器
;  chest   上半身。鎧や服
;  waist   下半身。下半身用の鎧やスカート
;  bust    胸。ブラ（女性のみ）
;  hip     尻。パンツ
;  arm     腕。小手や手袋
;  leg     足。靴類
;  finger  指輪
;  pocket  アクセサリー全般（お守り、ブローチなど）

; 装備画像の仕様についての説明
;・下に来るパーツが完全に隠れる場合画像を用意しなくて良い
;・下に来るパーツが何も着ていない時と同じである場合、裸用の画像だけ用意すれば良い
;・下に来るパーツが上の装備の破損時と破損前で同じである場合、破損前の画像だけ用意すれば良い
;・影が落ちる場合と何も上に着ていない場合が同じである場合、裸用の画像だけ用意すれば良い
;・上に来るパーツが破損時と破損前で同じである場合、どちらか一方の画像だけ用意すれば良い
; （その場合、アイテムデータの破損時と破損前両方の項目にその画像の情報を書き込むこと）

name	金貨（小）
displayName	Gold (S)
price	20
type	money
img	money_20
detail	Gold coins. More gold when taken.

name	金貨（中）
displayName	Gold (M)
price	100
type	money
img	money_100
detail	Gold coins. More gold when taken.

name	金貨（大）
displayName	Gold (L)
price	500
type	money
img	money_500
detail	Gold coins. More gold when taken.

name	金貨（特大）
displayName	Gold (XL)
price	2500
type	money
img	money_2500
detail	Gold coins. More gold when taken.

name	金貨（超特大）
displayName	Gold (XXL)
price	12500
type	money
img	money_12500
detail	Gold coins. More gold when taken.

name	額指定金貨
displayName	Gold
price	12500
type	fixedMoney
img	money_12500
detail	Gold coins. More gold when taken.

name	魔法の浮き橋
displayName	Magic Floating Bridge
price	0
type	other
img	other_bridge
event	true
detail	Magic bridge that allows passage across one air or water tile.

name	マジックラダー
displayName	Magic Ladder
type	other
img	other_ladder
event	true
detail	Magic ladder that allows low earthen walls to be climbed.<r>Hard or high walls, or obstacles at the top prevent its use.

name	時のスイッチ
displayName	Time Switch
type	other
img	other_reset
event	true
detail	A magic switch that can turn back time on a floor in certain places.

name	取消しスイッチ
displayName	Cancel Switch
type	other
img	other_undo
event	true
detail	A magic switch that allows you to undo moving a stone, once, immediately after you do so.<r>If you move, or the stone falls, it won't work.

name	つるはし
displayName	Pickaxe
